date,Accessories,All groups CPI,"Audio, visual and computing equipment","Audio, visual and computing media and services",Automotive fuel,Beef and veal,Beer,Books,Bread,Breakfast cereals,Cakes and biscuits,Carpets and other floor coverings,Cheese,Child care,Cleaning and maintenance products,"Cleaning, repair and hire of clothing and footwear","Coffee, tea and cocoa",Dental services,Domestic holiday travel and accommodation,Eggs,Electricity,"Equipment for sports, camping and open-air recreation",Fish and other seafood,Food additives and condiments,Footwear for infants and children,Footwear for men,Footwear for women,Fruit,Furniture,"Games, toys and hobbies",Garments for infants and children,Garments for men,Garments for women,Gas and other household fuels,"Glassware, tableware and household utensils",Hairdressing and personal grooming services,Household textiles,Ice cream and other dairy products,Insurance,International holiday travel and accommodation,"Jams, honey and spreads",Lamb and goat,Maintenance and repair of motor vehicles,Maintenance and repair of the dwelling,Major household appliances,Medical and hospital services,Milk,Motor vehicles,New dwelling purchase by owner-occupiers,"Newspapers, magazines and stationery",Oils and fats,Other cereal products,Other food products n.e.c.,Other household services,Other meats,Other non-durable household products,"Other recreational, sporting and cultural services",Other services in respect of motor vehicles,Personal care products,Pets and related products,Pharmaceutical products,Pork,Postal services,Poultry,Preschool and primary education,Property rates and charges,Rents,Restaurant meals,Secondary education,Small electric household appliances,Snacks and confectionery,Spare parts and accessories for motor vehicles,Spirits,Sports participation,Take away and fast foods,Telecommunication equipment and services,Tertiary education,Therapeutic appliances and equipment,Tobacco,Tools and equipment for house and garden,Urban transport fares,Vegetables,Veterinary and other services for pets,Water and sewerage,"Waters, soft drinks and juices",Wine
2010-03-01,4.4,3.1,-14.5,-0.4,9.3,-1.3,3.7,0.8,2.9,-4.6,2.1,1.4,-3.3,7.4,0.7,1.9,-2.2,4.9,12.6,-4.8,5.7,-2.3,0.2,2.9,-6.5,-3.6,1.7,-3.3,2.5,-0.3,1.1,2.1,-1.8,2.0,7.2,1.9,-6.7,-6.2,6.8,-1.1,-0.3,0.7,1.3,2.0,0.7,5.8,-3.2,2.0,5.3,1.8,1.3,-1.8,2.9,4.1,1.2,3.6,2.2,4.5,3.6,8.9,1.4,-3.9,1.9,2.5,4.3,14.4,3.9,4.2,4.3,6.4,-1.4,4.2,4.8,6.2,3.1,0.1,2.4,-1.5,3.3,7.0,6.8,2.2,6.7,6.6,1.1,0.9
2010-06-01,-0.5,3.0,-19.4,-1.4,9.6,2.2,3.6,0.5,2.6,-1.5,-1.1,2.3,0.7,6.8,4.2,1.2,-1.5,4.7,-2.4,-3.8,5.7,-4.2,-3.2,4.5,-1.8,-1.8,-3.5,-5.1,2.5,-1.5,-1.2,1.9,-4.4,3.1,-3.4,3.2,-7.1,1.9,8.0,2.8,-5.6,0.8,2.0,2.1,-0.9,5.2,-0.5,-0.8,5.6,-0.9,0.3,-2.1,5.3,3.1,3.2,0.0,7.0,4.5,-2.2,13.5,1.6,-1.4,1.9,4.0,4.4,14.4,3.5,3.5,4.3,0.7,1.6,2.0,3.5,5.8,2.0,-0.1,2.4,-0.1,17.6,3.7,6.8,4.0,6.0,6.6,3.1,1.7
2010-09-01,4.8,2.9,-20.9,2.6,5.4,0.1,3.2,0.1,3.3,4.5,2.9,0.5,-1.9,14.0,2.2,1.9,1.3,4.5,-1.0,-4.0,6.0,-5.0,0.8,2.4,2.7,7.4,0.5,0.6,-0.1,-0.7,1.0,1.2,-0.8,1.9,-4.6,2.1,8.2,-0.6,8.3,6.0,-8.9,2.1,2.2,2.5,-1.2,4.8,-0.5,-3.0,4.4,-0.9,-0.4,0.2,1.7,2.8,8.4,-1.0,6.4,2.3,-0.9,3.9,0.9,-1.6,6.4,1.7,5.1,6.7,3.5,2.9,4.3,-1.1,3.0,2.2,4.4,6.4,1.9,-0.5,2.4,-0.9,24.6,1.6,8.8,1.1,6.7,2.9,0.5,1.3
2010-12-01,-0.1,2.3,-17.9,-1.8,2.0,-1.6,5.8,0.5,1.5,-5.2,0.8,1.0,3.6,13.2,1.4,3.7,-2.3,3.9,-4.7,-4.6,6.0,-4.6,6.6,2.8,0.3,5.6,-1.9,-1.4,-1.4,0.2,-4.4,-2.3,-0.8,1.5,-7.4,2.4,1.2,-2.0,7.3,2.3,-2.4,2.2,-0.3,2.1,-5.3,5.0,-0.3,-3.8,3.7,-0.2,0.9,1.4,-0.4,2.8,8.0,1.6,6.2,2.5,-4.7,0.2,-0.3,14.0,6.4,2.8,4.9,6.7,3.5,3.1,4.3,-2.2,1.6,1.2,5.5,4.6,2.7,-0.5,2.4,-1.6,26.7,-2.2,6.9,4.3,4.5,2.9,2.5,0.1
2011-03-01,-3.3,2.9,-17.9,-0.1,7.0,-4.5,4.2,0.2,-0.8,0.5,2.9,0.9,-2.1,13.1,-2.5,4.2,0.2,4.4,-9.4,-3.6,15.9,-5.6,6.6,1.6,0.8,-3.7,-5.6,28.0,-2.2,0.3,1.6,-2.3,0.1,2.1,-8.3,3.1,1.9,4.6,5.0,3.1,-9.1,6.4,-0.9,2.1,-8.1,5.0,-6.5,-2.7,2.9,-0.2,-1.7,-3.4,-1.7,2.2,3.0,2.4,9.4,2.5,-3.4,-1.3,-1.2,4.2,6.4,6.8,4.6,6.7,4.1,4.0,4.8,-2.3,-0.1,1.5,5.7,3.4,3.3,-0.2,2.5,-0.8,25.5,-6.9,0.7,7.0,8.4,5.1,2.9,1.1
2011-06-01,5.6,3.4,-14.5,-0.4,11.0,-7.7,3.2,0.1,-3.5,-4.4,7.2,-0.4,-5.0,14.6,-5.4,4.0,-8.3,3.8,2.1,-2.8,15.9,-3.8,5.4,-4.1,3.4,6.1,-3.1,67.5,-3.1,-3.0,0.8,0.0,0.8,1.7,0.2,1.9,4.7,0.0,5.7,0.2,2.2,6.2,-1.0,0.8,-7.5,4.2,-9.3,-2.9,2.6,1.5,-6.2,-2.1,-1.7,2.5,5.0,-0.6,4.4,2.5,-3.5,-0.4,-1.3,3.9,8.6,3.7,4.5,6.7,4.2,4.1,4.8,-1.2,4.5,1.3,5.4,3.2,3.2,0.2,2.5,2.1,11.3,-1.5,0.7,5.9,8.4,5.1,2.5,-0.1
2011-09-01,1.2,3.2,-14.3,-3.8,9.2,-7.3,2.5,1.5,-3.2,-0.6,4.6,-0.3,-1.7,11.7,0.2,3.8,-5.8,5.5,8.1,-3.6,20.8,-2.8,1.5,-4.5,1.7,0.5,-1.7,66.2,-2.9,-1.1,-8.4,-0.5,-2.8,3.2,3.6,2.9,-6.8,-2.3,4.5,3.5,2.9,3.7,1.4,1.6,-11.0,4.4,-8.6,-3.0,0.0,1.0,-5.8,-0.3,-1.8,0.6,2.0,0.6,4.0,3.1,-3.9,5.2,-1.5,0.0,4.5,2.9,4.4,4.6,4.0,4.1,4.8,0.8,1.5,0.2,4.5,1.5,3.9,0.4,2.5,1.7,7.1,-0.7,0.7,9.5,7.4,4.7,5.4,2.0
2011-12-01,8.5,3.2,-17.0,-1.9,14.2,-2.1,0.9,0.0,-1.6,6.9,4.1,-0.6,-4.4,13.9,2.5,3.2,1.0,4.7,8.9,-2.3,20.8,-2.1,0.0,-1.5,1.5,1.1,-0.1,19.8,-1.2,-5.2,-4.2,5.1,-0.1,3.8,0.0,2.9,3.4,-1.7,5.8,1.1,2.2,9.0,3.6,1.8,-4.1,4.5,-9.1,-5.1,0.2,0.4,-4.6,-2.2,0.3,2.0,4.8,-1.5,12.7,3.7,-2.5,7.0,-0.8,-6.7,4.5,3.3,4.7,4.6,3.4,4.2,4.8,2.4,1.0,-1.2,4.0,4.0,3.7,1.5,2.5,2.3,6.3,0.8,2.8,-0.7,7.4,4.7,3.0,3.2
2012-03-01,11.0,2.1,-16.6,-2.8,7.1,0.7,0.7,-1.5,-1.4,4.2,1.9,0.6,-2.7,12.8,0.3,2.0,2.1,2.6,18.1,-0.4,10.7,-0.3,0.5,-0.4,3.6,10.0,4.9,-25.5,-1.8,-5.1,-3.7,1.4,-0.2,4.2,6.5,3.1,1.7,-4.3,5.4,-1.8,11.6,2.2,4.4,1.7,-6.1,4.6,-2.9,-3.3,0.1,0.5,-3.7,-0.2,-1.3,3.1,2.6,-0.7,10.4,3.1,-4.2,7.0,-0.3,-2.3,4.5,1.0,5.1,4.6,2.6,3.4,5.1,-2.1,2.8,-2.2,4.1,4.3,3.6,1.4,5.1,3.2,7.0,6.9,5.4,-11.5,1.9,4.7,4.4,2.8
2012-06-01,1.9,0.8,-17.4,-2.7,1.6,2.6,1.1,-0.4,2.2,2.7,-2.5,1.1,-2.4,11.5,-0.6,2.0,10.5,3.0,4.4,-0.5,10.7,-2.3,-0.1,3.0,4.0,-0.6,7.3,-42.5,-0.9,-3.3,-3.5,-1.7,-2.4,3.4,5.5,2.4,-3.1,-2.4,5.1,-2.8,-6.5,-1.6,4.3,1.7,-0.7,5.2,0.5,-2.7,-1.5,0.2,1.2,2.0,1.3,3.1,4.7,0.5,10.8,3.1,3.3,-1.1,-1.1,-7.0,4.3,1.1,5.1,4.6,2.0,3.9,5.1,1.4,1.1,-2.0,3.7,4.8,2.9,0.7,5.1,0.5,7.5,0.0,5.4,-2.2,1.9,4.7,1.2,3.9
